Ref,Value,PosX_mm,PosY_mm,Rot_deg,Side,Populate
C1,100nF,96.000,116.000,0,top,yes
C2,100nF,100.300,116.000,0,top,yes
C3,100nF,104.600,116.000,0,top,yes
C4,100nF,108.900,116.000,0,top,yes
C5,100nF,113.200,116.000,0,top,yes
C6,100nF,117.500,116.000,0,top,yes
C7,100nF,121.800,116.000,0,top,yes
C8,100nF,126.100,116.000,0,top,yes
C9,100nF,184.000,116.000,0,top,yes
C10,100nF,188.300,116.000,0,top,yes
C11,100nF,192.600,116.000,0,top,yes
C12,100nF,196.900,116.000,0,top,yes
C13,100nF,201.200,116.000,0,top,yes
C14,100nF,205.500,116.000,0,top,yes
C15,100nF,209.800,116.000,0,top,yes
C16,100nF,214.100,116.000,0,top,yes
J20,PCIe_x16_SLOT,30.000,13.000,0,top,yes
J21,PCIe_x16_SLOT,110.000,13.000,0,top,yes
J22,PCIe_x16_SLOT,190.000,13.000,0,top,yes
J23,PCIe_x16_SLOT,270.000,13.000,0,top,yes
U1,NCE_Gen3_SpikingBrain,111.000,89.000,0,top,yes
U3,TFLN_PIC_4xMZM,155.000,89.000,0,top,yes
U4,NCE_Gen3_SpikingBrain,199.000,89.000,0,top,yes
U30,HBM4-16GB,96.000,75.000,0,top,yes
U31,HBM4-16GB,106.000,75.000,0,top,yes
U32,HBM4-16GB,116.000,75.000,0,top,yes
U33,HBM4-16GB,126.000,75.000,0,top,yes
U34,HBM4-16GB,96.000,103.000,0,top,yes
U35,HBM4-16GB,106.000,103.000,0,top,yes
U40,HBM4-16GB,204.000,75.000,0,top,yes
U41,HBM4-16GB,214.000,75.000,0,top,yes
U42,HBM4-16GB,184.000,103.000,0,top,yes
U43,HBM4-16GB,194.000,103.000,0,top,yes
U44,HBM4-16GB,204.000,103.000,0,top,yes
U45,HBM4-16GB,214.000,103.000,0,top,yes
U50,HMC8410,147.000,53.000,0,top,yes
U51,HMC8410,152.300,53.000,0,top,yes
U52,HMC8410,157.700,53.000,0,top,yes
U53,HMC8410,163.000,53.000,0,top,yes
U200,ISL69260,20.000,162.000,0,top,yes
U201,ISL69260,30.000,162.000,0,top,yes
U202,ISL69260,40.000,162.000,0,top,yes
U203,ISL69260,50.000,162.000,0,top,yes
U210,ISL99390,57.000,156.000,0,top,yes
U211,ISL99390,74.800,156.000,0,top,yes
U212,ISL99390,92.600,156.000,0,top,yes
U213,ISL99390,110.400,156.000,0,top,yes
U214,ISL99390,128.200,156.000,0,top,yes
U215,ISL99390,146.000,156.000,0,top,yes
U216,ISL99390,163.800,156.000,0,top,yes
U217,ISL99390,181.600,156.000,0,top,yes
U218,ISL99390,199.400,156.000,0,top,yes
U219,ISL99390,217.200,156.000,0,top,yes
U220,ISL99390,235.000,156.000,0,top,yes
U221,ISL99390,252.800,156.000,0,top,yes
U222,ISL99390,57.000,165.000,0,top,yes
U223,ISL99390,74.800,165.000,0,top,yes
U224,ISL99390,92.600,165.000,0,top,yes
U225,ISL99390,110.400,165.000,0,top,yes
U226,ISL99390,128.200,165.000,0,top,yes
U227,ISL99390,146.000,165.000,0,top,yes
U228,ISL99390,163.800,165.000,0,top,yes
U229,ISL99390,181.600,165.000,0,top,yes
U230,ISL99390,199.400,165.000,0,top,yes
U231,ISL99390,217.200,165.000,0,top,yes
U232,ISL99390,235.000,165.000,0,top,yes
U233,ISL99390,252.800,165.000,0,top,yes
U240,ADP7118-0.9V,133.000,162.000,0,top,yes
U241,ADP7118-0.9V,140.000,162.000,0,top,yes
U242,ADP7118-0.9V,147.000,162.000,0,top,yes
U243,ADP7118-0.9V,154.000,162.000,0,top,yes
U250,Si5395A,149.000,28.000,0,top,yes
U251,Si5395A,161.000,28.000,0,top,yes
U260,BCM84881,72.000,38.000,0,top,yes
U261,BCM84881,82.000,38.000,0,top,yes
U262,BCM84881,92.000,38.000,0,top,yes
U263,BCM84881,102.000,38.000,0,top,yes
U270,PEX88096,208.000,38.000,0,top,yes
U271,PEX88096,218.000,38.000,0,top,yes
U272,PEX88096,228.000,38.000,0,top,yes
U273,PEX88096,238.000,38.000,0,top,yes
U380,AST2600,155.000,145.000,0,top,yes
