part_or_item,refs,mpn_or_identifier,source_type,source_url,resolution_status,engineering_finding
LightRail NCE BGA-2500,"U1,U4",LR-NCE-G3-BGA2500-001,owner-controlled custom data,,blocked_owner_data,"Need approved LightRail silicon/package ball map; no public source can define this custom connectivity."
HBM4 stack,"U30,U31,U32,U33,U34,U35,U40,U41,U42,U43,U44,U45",SK_HBM4_16GB_12H,public standard/product pages,"https://www.businesswire.com/news/home/20250416843598/en/JEDEC-and-Industry-Leaders-Collaborate-to-Release-JESD270-4-HBM4-Standard-Advancing-Bandwidth-Efficiency-and-Capacity-for-AI-and-HPC ; https://www.micron.com/products/memory/hbm/hbm4 ; https://news.skhynix.com/sk-hynix-completes-worlds-first-hbm4-development-and-readies-mass-production/",blocked_vendor_ball_map,"Public sources confirm HBM4 class/interface information but do not provide an orderable package ball map or channel assignment."
TFLN PIC/module,U3,TFLN-MZM-400G-C,custom vendor data,,blocked_custom_vendor_data,"Need vendor pad table and package/mechanical data for the exact TFLN module."
HMC8410,"U50,U51,U52,U53",HMC8410LP2FE,official datasheet,https://www.analog.com/media/en/technical-documentation/data-sheets/hmc8410.pdf,fix_required,"ADI datasheet identifies HMC8410 as a 6-lead 2 mm x 2 mm LFCSP LNA; current repo uses a QFN-32 high-speed driver placeholder and must be corrected."
ADP7118,"U240,U241,U242,U243",ADP7118AUJZ-0.9-R7,official datasheet,https://www.analog.com/media/en/technical-documentation/data-sheets/adp7118.pdf,partial_public_resolved,"Official datasheet resolves regulator family behavior, but schematic capture still needs rail assignment and passives."
Si5395A,"U250,U251",Si5395A-A-GM,official datasheet,https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/si5395-94-92-a-datasheet.pdf,partial_public_resolved,"Official datasheet indicates 64-QFN 9 mm x 9 mm class device; current repo uses QFN-48 placeholder and needs real pin map plus ClockBuilder output plan."
AST2600,U380,AST2600A3-T,official product page,https://www.aspeedtech.com/server_ast2600/,partial_public_only,"Public page confirms device class/features; official package/pin documentation and interface allocation are still required."
BCM84881,"U260,U261,U262,U263",BCM84881B0KFSBG,official product page,https://www.broadcom.com/products/ethernet-connectivity/phy-and-poe/copper/10gbase-t-phy/bcm84881,blocked_vendor_pin_map,"Need Broadcom datasheet/package pin map and lifecycle/availability confirmation."
PEX88096,"U270,U271,U272,U273",PEX88096-CA80BI,official product page,https://www.broadcom.com/products/pcie-switches-retimers/expressfabric/gen4/pex88096,blocked_vendor_pin_map,"Need Broadcom datasheet/package pin map plus PCIe lane allocation."
ISL99390,"U210,U211,U212,U213,U214,U215,U216,U217,U218,U219,U220,U221,U222,U223,U224,U225,U226,U227,U228,U229,U230,U231,U232,U233",ISL99390FRAZ,official source not located,,blocked_official_pin_map,"Need official Renesas datasheet/package pin map, phase assignment, and rail mapping."
ISL69260,"U200,U201,U202,U203",ISL69260IRAZ,official source not located,,blocked_official_pin_map,"Need official Renesas datasheet/package pin map, PMBus address plan, phase assignment, and rail mapping."
PCIe x16 connector,"J20,J21,J22,J23",2-2337939-3,manufacturer datasheet needed,,blocked_connector_pin_map,"Need connector drawing/pin table and lane/refclk/reset/power assignment."
Decoupling capacitors,"C1-C16",GRM155R71C104KA88,commodity passives,,blocked_by_power_tree,"Part family is common, but placement/connectivity depends on rail assignment and package pin map."

