Ref,Val,Package,PosX,PosY,Rot,Side
"BH1","","",45.000000,-35.000000,0.000000,top
"BH2","","",95.000000,-35.000000,0.000000,top
"BH3","","",45.000000,-85.000000,0.000000,top
"BH4","","",95.000000,-85.000000,0.000000,top
"BH5","","",135.000000,-35.000000,0.000000,top
"BH6","","",185.000000,-35.000000,0.000000,top
"BH7","","",135.000000,-85.000000,0.000000,top
"BH8","","",185.000000,-85.000000,0.000000,top
"U101","","BGA-2500_40x40_P0.8mm_NCE",70.000000,-60.000000,0.000000,top
"U102","TFLN-MZM-400G-C","",70.000000,-120.000000,0.000000,top
"U201","","BGA-2500_40x40_P0.8mm_NCE",160.000000,-60.000000,0.000000,top
"U202","TFLN-MZM-400G-C","",160.000000,-120.000000,0.000000,top
